,names,rating,cuisine types,price,location,url
0,Magique,4.0,"Asian, Continental, North Indian, Italian, Pizza, Desserts, Beverages","₹2,000 for two"," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info
1,Street 1522,4.4,"North Indian, Asian, Street Food, Mughlai, Continental, Beverages","₹1,100 for two"," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore/info
2,Daysie - All Day Casual Bar,4.4,"North Indian, Asian, Chinese, Italian, Continental, Fast Food, Street Food, Desserts","₹1,300 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info
3,Daddy,4.2,"Finger Food, Continental, North Indian, Asian, Beverages","₹1,700 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info
4,Secret Story,4.0,"Continental, Asian, North Indian, Beverages","₹2,000 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info
5,LUPA,3.9,"Mediterranean, European, Italian, Desserts","₹5,000 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/lupa-mg-road-bangalore/info
6,Miso Sexy,4.3,"Asian, Chinese, Continental, Beverages","₹1,800 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info
7,Bramble,4.3,"Continental, Asian, North Indian, Italian, Bar Food, Beverages","₹1,800 for two"," Jayanagar, Bangalore",https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info
8,Foo Brigade Road,New,"Asian, Chinese, Sushi, Desserts, Beverages","₹1,500 for two"," Brigade Road, Bangalore",https://www.zomato.com/bangalore/foo-brigade-road-brigade-road-bangalore/info
9,Gatsby,4.4,"Finger Food, Italian, North Indian, Continental, Asian, Biryani, Desserts, Beverages","₹2,500 for two"," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/gatsby-bannerghatta-road-bangalore/info
10,Levels Pub & Kitchen,4.4,"North Indian, Chinese, Mangalorean, Mughlai, Thai, Finger Food, Beverages, Desserts","₹1,700 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/levels-pub-kitchen-jp-nagar-bangalore/info
11,The Reservoire,4.4,"Continental, North Indian, Salad, Asian, Pizza, Mughlai, Burger, Pasta","₹2,000 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info
12,The 13th Floor,4.4,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts","₹2,500 for two"," Barton Centre, Bangalore",https://www.zomato.com/bangalore/the-13th-floor-mg-road-bangalore/info
13,Sky Garden,4.3,"Chinese, Salad, North Indian, Continental, Asian, Burger, Pizza, Pasta","₹1,700 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info
14,Gawky Goose,4.5,"Italian, South Indian, North Indian, Chinese, Seafood, Beverages, Desserts","₹1,800 for two"," Old Airport Road, Bangalore",https://www.zomato.com/bangalore/gawky-goose-airport-road-bangalore/info
15,Terrace By House Of Commons,4.5,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Pizza, Pasta","₹1,400 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore/info
16,Lono,4.2,"Continental, Modern Indian, Italian, Fast Food, Seafood, Beverages, Desserts","₹1,700 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/lono-indiranagar-bangalore/info
17,Jamming Goat 3.0,4.4,"North Indian, Chinese, Continental","₹2,500 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/jamming-goat-3-0-jp-nagar-bangalore/info
18,Oyster Bar & Kitchen,4.5,"Bar Food, Chinese, North Indian, Seafood, Asian, Burger, Italian, Sichuan","₹1,600 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info
19,Khmer Kitchen,4.6,"Asian, Sushi, Desserts, Beverages","₹2,500 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/khmer-kitchen-jp-nagar-bangalore/info
20,21st Amendment Gastrobar,4.3,"North Indian, Continental, Chinese, Bar Food, Sichuan, Beverages","₹1,700 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info
21,Sashay-Taproom Kitchen,4.9,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages","₹2,000 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/sashay-taproom-kitchen-whitefield-bangalore/info
22,Zodiac Bar & Kitchen,4.4,"Continental, North Indian, Fast Food, Pasta, Desserts","₹1,800 for two"," Brookefield, Bangalore",https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore/info
23,1131 Bar + Kitchen By House Of Commons,4.5,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Beverages, Desserts","₹2,200 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info
24,House Of Commons,4.5,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts","₹1,200 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/house-of-commons-hsr-bangalore/info
25,The Big Baadshaah,4.4,"Chinese, Continental, North Indian, Asian, Burger, Desserts, Beverages","₹1,400 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/the-big-baadshaah-marathahalli-bangalore/info
26,Raahi,4.4,"North Indian, Beverages, Desserts","₹2,500 for two"," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info
27,Yuki,4.5,"Asian, Japanese, Thai, Sushi, Chinese, Salad, Desserts","₹1,400 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/yuki-koramangala-5th-block-bangalore/info
28,Hashtag 88,4.4,"Salad, Chinese, Asian, North Indian, Fast Food, Biryani, Desserts","₹1,400 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/hashtag-88-marathahalli-bangalore/info
29,Nevermind - Bar & Social,4.2,"Bar Food, North Indian, Chinese, Continental, Desserts","₹1,800 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore/info
30,Bob's Bar,4.2,"South Indian, Biryani, Sandwich, Desserts, Bakery, Beverages","₹1,400 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bobs-bar-1-indiranagar-bangalore/info
31,Taproom By Sherlock's,4.2,"North Indian, Chinese, Thai, Continental, Seafood, Pizza, Beverages","₹1,800 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info
32,Bombay Borough,4.6,"North Indian, Modern Indian, South Indian, Biryani, Desserts, Beverages","₹2,000 for two"," Richmond Road, Bangalore",https://www.zomato.com/bangalore/bombay-borough-richmond-road-bangalore/info
33,Suzy Q By 1522,4.4,"North Indian, Seafood, Street Food, Fast Food, Asian, Chinese, Desserts, Beverages","₹2,000 for two"," Cunningham Road, Bangalore",https://www.zomato.com/bangalore/suzy-q-by-1522-cunningham-road-bangalore/info
34,Travellers Bungalow,4.3,"Middle Eastern, European, Pizza, Finger Food, Beverages","₹1,400 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/travellers-bungalow-1-indiranagar-bangalore/info
35,Mirage,4.3,"Asian, Chinese, Thai, Beverages, Desserts","₹1,900 for two"," 1 Sobha, Bangalore",https://www.zomato.com/bangalore/mirage-st-marks-road-bangalore/info
36,TBC- Sky Lounge,4.5,"Continental, Asian, Italian, North Indian","₹1,500 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore/info
37,RCB Bar & Cafe,4.5,"Continental, Fast Food, Pizza, Asian, North Indian, Beverages","₹2,000 for two"," 1 Sobha, Bangalore",https://www.zomato.com/bangalore/rcb-bar-cafe-st-marks-road-bangalore/info
